,pear_id,grading_id,alternaria_area,alternaria_count,injury_area,injury_count,speckle_area,speckle_count,chemical_area,chemical_count,plane_area,plane_count
0,202000001,3,0.042317339725593095,7,0.08786789645248401,19,0.025268009684778988,2,0.018569214623531432,1,0.09632666172906998,11
1,202000002,3,0.0,0,0.1284720156979667,33,0.0030056577708964527,1,0.0,0,0.0664267767530136,6
2,202000004,3,0.0,0,0.2422757553714998,44,0.005974888352478041,1,0.018018072780739493,2,0.02269912942712536,2
3,202000008,5,0.0,0,0.03757636133775392,9,0.029937894361675904,4,0.006202695431574482,1,0.041713622733874946,3
4,202000016,4,0.0,0,0.21222043596515214,54,0.0,0,0.0,0,0.009752761831817447,2
5,202000018,4,0.017357155358271266,2,0.08948778459918726,24,0.016982887135327487,1,0.07420948750066166,2,0.0,0
6,202000022,3,0.0,0,0.1068466944850126,25,0.01954810667302816,3,0.0,0,0.0,0
7,202000024,3,0.0,0,0.07739794214405224,28,0.0,0,0.0,0,0.0,0
8,202000026,2,0.0,0,0.03245179351011625,8,0.0,0,0.08382519392637762,4,0.0,0
9,202000030,3,0.0,0,0.07512519135581393,19,0.07546873390369255,13,0.0,0,0.04259149454922948,4
10,202000032,3,0.0,0,0.05807342673792025,14,0.024090118852373534,6,0.015361091151327807,1,0.002813013618686585,1
11,202000034,3,0.008077371748603185,1,0.12154799970218005,18,0.0,0,0.0,0,0.052835364208916956,5
12,202000035,3,0.0,0,0.14369169519460548,26,0.0,0,0.0,0,0.032121718100036084,2
13,202000037,3,0.0,0,0.06733788485925235,16,0.0,0,0.1569556993165861,3,0.0,0
14,202000040,4,0.0,0,0.11833914133102567,22,0.0,0,0.0,0,0.08409239525874068,3
15,202000048,5,0.00720635726909633,1,0.07217386229676769,26,0.2402251646103704,35,0.2026796026444482,3,0.038068646922420034,9
16,202000053,4,0.0,0,0.029645723764350717,4,0.01899808113128487,1,0.0,0,0.09806857521364025,3
17,202000056,3,0.0,0,0.13242613496248162,19,0.0,0,0.0,0,0.05256069149047458,5
18,202000059,4,0.0,0,0.05917042527168945,17,0.0,0,0.0,0,0.09243701960368739,4
19,202000060,5,0.0,0,0.10028422630269616,18,0.0,0,0.0,0,0.037079279967568844,3
20,202000062,2,0.0,0,0.03864978374649576,7,0.0,0,0.0,0,0.0,0
21,202000063,4,0.0,0,0.09568843111272081,13,0.007948976232451582,2,0.0,0,0.0,0
22,202000065,3,0.0100956690362424,1,0.028988830750002626,10,0.002412267044729725,1,0.0,0,0.0,0
23,202000068,3,0.0,0,0.06963481358073075,25,0.0,0,0.20753401441843294,2,0.0,0
24,202000071,3,0.008208190598294378,1,0.1930465067537042,31,0.021979410984152112,5,0.0,0,0.03686377510778939,6
25,202000080,2,0.0,0,0.01411931298266009,7,0.0048980967217317935,1,0.08959843389604663,3,0.027826526911511065,1
26,202000082,2,0.0,0,0.07633363785886688,18,0.0,0,0.0325657615103988,2,0.019351670397309458,1
27,202000085,3,0.01605481662596133,2,0.07242680958987918,14,0.015598518621897817,3,0.0,0,0.0930745454558477,7
28,202000091,4,0.0,0,0.12845018779934422,26,0.006044314800228797,1,0.0,0,0.057190204720645135,4
29,202000096,3,0.0,0,0.06797531405662784,16,0.0993272352099753,4,0.0,0,0.028634175744079955,2
30,202000106,3,0.0,0,0.0343857102281323,9,0.0025549881141965734,1,0.10415675901499485,1,0.019007944334290355,2
31,202000110,5,0.0,0,0.10248777411144634,30,0.2935877490405455,48,0.0,0,0.06295638361486758,7
32,202000113,4,0.0,0,0.30605112997142664,53,0.016168429499135908,2,0.008381753630311836,1,0.0,0
33,202000120,4,0.0,0,0.06490600879473324,18,0.0,0,0.0,0,0.006893731967225657,1
34,202000129,6,0.024589232772046193,2,0.05153813838012441,18,0.19957557126349068,47,0.0,0,0.007846394066073535,1
35,202000132,4,0.010079824414072942,1,0.09471601231489886,19,0.012774959205802622,1,0.0,0,0.04150547406935459,2
36,202000140,3,0.00900600034281624,1,0.10503311160954404,23,0.0,0,0.0,0,0.0,0
37,202000152,5,0.0,0,0.027381590384877016,4,0.031590487470727624,5,0.07806077246221875,2,0.012378641852721308,1
38,202000164,4,0.0,0,0.008148405489359805,7,0.056199031455271435,10,0.0993416571241213,2,0.03918579721426461,9
39,202000183,4,0.0,0,0.1567329926021345,23,0.0,0,0.1355439939758485,3,0.0,0
40,202000190,2,0.0,0,0.0709833494391435,21,0.0940525443437092,18,0.0,0,0.0,0
41,202000199,6,0.0,0,0.04892640164260854,16,0.254640730407391,39,0.0,0,0.03367202190314308,3
42,202000201,3,0.022942945651000267,2,0.08271597737051424,23,0.009198494576478184,1,0.0,0,0.03678702200543719,3
43,202000217,4,0.0,0,0.2230874746974367,40,0.0021316845296488313,1,0.0,0,0.048583579327343494,2
44,202000221,3,0.02642254301021161,2,0.0627053100915815,26,0.0,0,0.0,0,0.05341102233885133,1
45,202000232,3,0.0,0,0.04499462808723351,14,0.016639788654229916,3,0.013936265091321393,1,0.029624359930779616,3
46,202000242,3,0.0,0,0.038826964906192904,13,0.0362235855608234,4,0.0,0,0.12265099263730501,14
47,202000250,5,0.0,0,0.0626105998580454,13,0.12011109159944518,21,0.13210577413050006,1,0.03841051853198894,3
48,202000265,5,0.0,0,0.07326740384643292,22,0.028151384323938346,7,0.19959189392447652,5,0.0689693317323189,9
